Health District,Lab Report Date,Number of PCR Testing Encounters,Number of Positive PCR Testing Encounters,Percentage of +ve PCR tests,Percentage of total tests given were PCR tests,Total Number of Positive Testing Encounters,Total Number of Testing Encounters
Virginia Beach,3/26/2020,65,9,13.846153846,100,9,65
West Piedmont,3/26/2020,3,0,0,100,0,3
Western Tidewater,3/26/2020,23,1,4.347826087,100,1,23
Alexandria,3/27/2020,48,6,12.5,100,6,48
Alleghany,3/27/2020,13,0,0,100,0,13
Arlington,3/27/2020,64,11,17.1875,100,11,64
Central Shenandoah,3/27/2020,19,0,0,100,0,19
Central Virginia,3/27/2020,29,1,3.448275862,100,1,29
Chesapeake,3/27/2020,59,4,6.779661017,100,4,59
Chesterfield,3/27/2020,84,22,26.190476190,100,22,84
Chickahominy,3/27/2020,31,5,16.129032258,100,5,31
Crater,3/27/2020,35,5,14.285714286,100,5,35
Cumberland Plateau,3/27/2020,16,0,0,100,0,16
Eastern Shore,3/27/2020,16,2,12.5,100,2,16
Fairfax,3/27/2020,199,31,15.577889447,100,31,199
Hampton,3/27/2020,26,3,11.538461538,100,3,26
Henrico,3/27/2020,87,25,28.735632184,100,25,87
Lenowisco,3/27/2020,8,0,0,100,0,8
Lord Fairfax,3/27/2020,81,5,6.172839506,100,5,81
Loudoun,3/27/2020,83,10,12.048192771,100,10,83
Mount Rogers,3/27/2020,22,1,4.545454545,100,1,22
New River,3/27/2020,28,1,3.571428571,100,1,28
Norfolk,3/27/2020,58,4,6.896551724,100,4,58
Out of State,3/27/2020,120,23,19.166666667,100,23,120
Peninsula,3/27/2020,129,16,12.403100775,100,16,129
Piedmont,3/27/2020,15,0,0,100,0,15
Pittsylvania-Danville,3/27/2020,18,1,5.555555556,100,1,18
Portsmouth,3/27/2020,35,3,8.571428571,100,3,35
Prince William,3/27/2020,96,12,12.5,100,12,96
Rappahannock,3/27/2020,46,5,10.869565217,100,5,46
Rappahannock Rapidan,3/27/2020,43,2,4.651162791,100,2,43
Richmond,3/27/2020,33,9,27.272727273,100,9,33
Roanoke,3/27/2020,123,12,9.756097561,100,12,123
Southside,3/27/2020,7,1,14.285714286,100,1,7
Thomas Jefferson,3/27/2020,38,5,13.157894737,100,5,38
Three Rivers,3/27/2020,27,5,18.518518519,100,5,27
Unknown,3/27/2020,5,3,60,100,3,5
Virginia Beach,3/27/2020,165,13,7.878787879,100,13,165
West Piedmont,3/27/2020,16,0,0,100,0,16
Western Tidewater,3/27/2020,24,1,4.166666667,100,1,24
Alexandria,3/28/2020,43,4,9.302325581,100,4,43
Alleghany,3/28/2020,13,1,7.692307692,100,1,13
Arlington,3/28/2020,68,9,13.235294118,100,9,68
Central Shenandoah,3/28/2020,31,2,6.451612903,100,2,31
Central Virginia,3/28/2020,1,0,0,100,0,1
Chesapeake,3/28/2020,25,7,28,100,7,25
Chesterfield,3/28/2020,61,3,4.918032787,100,3,61
Chickahominy,3/28/2020,24,4,16.666666667,100,4,24
Crater,3/28/2020,23,4,17.391304348,100,4,23
Cumberland Plateau,3/28/2020,21,1,4.761904762,100,1,21
Eastern Shore,3/28/2020,10,3,30,100,3,10
Fairfax,3/28/2020,275,42,15.272727273,100,42,275
Hampton,3/28/2020,18,2,11.111111111,100,2,18
Henrico,3/28/2020,88,9,10.227272727,100,9,88
Lenowisco,3/28/2020,17,0,0,100,0,17
Lord Fairfax,3/28/2020,72,5,6.944444444,100,5,72
Loudoun,3/28/2020,138,10,7.246376812,100,10,138
Mount Rogers,3/28/2020,19,1,5.263157895,100,1,19
New River,3/28/2020,14,0,0,100,0,14
Norfolk,3/28/2020,41,3,7.317073171,100,3,41
Out of State,3/28/2020,20,4,20,100,4,20
Peninsula,3/28/2020,73,16,21.917808219,100,16,73
Piedmont,3/28/2020,18,0,0,100,0,18
Pittsylvania-Danville,3/28/2020,5,0,0,100,0,5
Portsmouth,3/28/2020,8,1,12.5,100,1,8
Prince William,3/28/2020,98,9,9.183673469,100,9,98
Rappahannock,3/28/2020,65,9,13.846153846,100,9,65
Rappahannock Rapidan,3/28/2020,35,2,5.714285714,100,2,35
Richmond,3/28/2020,54,15,27.777777778,100,15,54
Roanoke,3/28/2020,64,2,3.125,100,2,64
Southside,3/28/2020,4,0,0,100,0,4
Thomas Jefferson,3/28/2020,20,3,15,100,3,20
Three Rivers,3/28/2020,22,1,4.545454545,100,1,22
Unknown,3/28/2020,2,0,0,100,0,2
Virginia Beach,3/28/2020,79,14,17.721518987,100,14,79
West Piedmont,3/28/2020,5,0,0,100,0,5
Western Tidewater,3/28/2020,25,3,12,100,3,25
Alexandria,3/29/2020,21,2,9.523809524,100,2,21
Alleghany,3/29/2020,27,0,0,100,0,27
Arlington,3/29/2020,30,7,23.333333333,100,7,30
Central Shenandoah,3/29/2020,31,5,16.129032258,100,5,31
Central Virginia,3/29/2020,22,0,0,100,0,22
Chesapeake,3/29/2020,40,5,12.5,100,5,40
Chesterfield,3/29/2020,70,7,10,100,7,70
Chickahominy,3/29/2020,22,4,18.181818182,100,4,22
Crater,3/29/2020,38,4,10.526315789,100,4,38
Cumberland Plateau,3/29/2020,13,1,7.692307692,100,1,13
Eastern Shore,3/29/2020,12,1,8.333333333,100,1,12
Fairfax,3/29/2020,105,25,23.809523810,100,25,105
Hampton,3/29/2020,25,3,12,100,3,25
Henrico,3/29/2020,114,17,14.912280702,100,17,114
Lenowisco,3/29/2020,7,0,0,100,0,7
Lord Fairfax,3/29/2020,63,8,12.698412698,100,8,63
Loudoun,3/29/2020,29,11,37.931034483,100,11,29
Mount Rogers,3/29/2020,18,1,5.555555556,100,1,18
New River,3/29/2020,9,0,0,100,0,9
Norfolk,3/29/2020,49,6,12.244897959,100,6,49
Out of State,3/29/2020,52,12,23.076923077,100,12,52
Peninsula,3/29/2020,92,18,19.565217391,100,18,92
Piedmont,3/29/2020,10,1,10,100,1,10
Pittsylvania-Danville,3/29/2020,43,0,0,100,0,43
Portsmouth,3/29/2020,13,3,23.076923077,100,3,13
Prince William,3/29/2020,57,17,29.824561404,100,17,57
Rappahannock,3/29/2020,40,3,7.5,100,3,40
Rappahannock Rapidan,3/29/2020,25,4,16,100,4,25
Richmond,3/29/2020,47,8,17.021276596,100,8,47
Roanoke,3/29/2020,38,2,5.263157895,100,2,38
Southside,3/29/2020,7,0,0,100,0,7
Thomas Jefferson,3/29/2020,30,5,16.666666667,100,5,30
Three Rivers,3/29/2020,20,2,10,100,2,20
Virginia Beach,3/29/2020,118,22,18.644067797,100,22,118
West Piedmont,3/29/2020,22,1,4.545454545,100,1,22
Western Tidewater,3/29/2020,27,5,18.518518519,100,5,27
Alexandria,3/30/2020,43,7,16.279069767,100,7,43
Alleghany,3/30/2020,5,0,0,100,0,5
Arlington,3/30/2020,90,22,24.444444444,100,22,90
Central Shenandoah,3/30/2020,9,0,0,100,0,9
Central Virginia,3/30/2020,28,3,10.714285714,100,3,28
Chesapeake,3/30/2020,42,4,9.523809524,100,4,42
Chesterfield,3/30/2020,64,10,15.625,100,10,64
Chickahominy,3/30/2020,18,4,22.222222222,100,4,18
Crater,3/30/2020,30,4,13.333333333,100,4,30
Cumberland Plateau,3/30/2020,14,0,0,100,0,14
Eastern Shore,3/30/2020,10,1,10,100,1,10
Fairfax,3/30/2020,294,41,13.945578231,100,41,294
Hampton,3/30/2020,27,5,18.518518519,100,5,27
Henrico,3/30/2020,58,16,27.586206897,100,16,58
Lenowisco,3/30/2020,23,0,0,100,0,23
Lord Fairfax,3/30/2020,64,6,9.375,100,6,64
Loudoun,3/30/2020,81,9,11.111111111,100,9,81
Mount Rogers,3/30/2020,28,1,3.571428571,100,1,28
New River,3/30/2020,7,1,14.285714286,100,1,7
Norfolk,3/30/2020,58,4,6.896551724,100,4,58
Out of State,3/30/2020,79,8,10.126582278,100,8,79
Peninsula,3/30/2020,82,19,23.170731707,100,19,82
Piedmont,3/30/2020,15,1,6.666666667,100,1,15
Pittsylvania-Danville,3/30/2020,11,1,9.090909091,100,1,11
Portsmouth,3/30/2020,17,3,17.647058824,100,3,17
Prince William,3/30/2020,112,15,13.392857143,100,15,112
Rappahannock,3/30/2020,42,4,9.523809524,100,4,42
Rappahannock Rapidan,3/30/2020,21,1,4.761904762,100,1,21
Richmond,3/30/2020,52,12,23.076923077,100,12,52
Roanoke,3/30/2020,58,5,8.620689655,100,5,58
Southside,3/30/2020,3,1,33.333333333,100,1,3
Thomas Jefferson,3/30/2020,20,3,15,100,3,20
Three Rivers,3/30/2020,32,3,9.375,100,3,32
Unknown,3/30/2020,12,0,0,100,0,12
Virginia Beach,3/30/2020,102,14,13.725490196,100,14,102
West Piedmont,3/30/2020,8,0,0,100,0,8
Western Tidewater,3/30/2020,26,3,11.538461538,100,3,26
Alexandria,3/31/2020,29,6,20.689655172,100,6,29
Alleghany,3/31/2020,14,2,14.285714286,100,2,14
Arlington,3/31/2020,56,12,21.428571429,100,12,56
Central Shenandoah,3/31/2020,47,7,14.893617021,100,7,47
Central Virginia,3/31/2020,21,1,4.761904762,100,1,21
Chesapeake,3/31/2020,40,10,25,100,10,40
Chesterfield,3/31/2020,74,7,9.459459459,100,7,74
Chickahominy,3/31/2020,33,5,15.151515152,100,5,33
Crater,3/31/2020,30,7,23.333333333,100,7,30
Cumberland Plateau,3/31/2020,24,0,0,100,0,24
Eastern Shore,3/31/2020,12,0,0,100,0,12
Fairfax,3/31/2020,276,43,15.579710145,100,43,276
Hampton,3/31/2020,33,8,24.242424242,100,8,33
Henrico,3/31/2020,122,45,36.885245902,100,45,122
Lenowisco,3/31/2020,6,0,0,100,0,6
Lord Fairfax,3/31/2020,121,9,7.438016529,100,9,121
Loudoun,3/31/2020,53,17,32.075471698,100,17,53
Mount Rogers,3/31/2020,25,1,4,100,1,25
New River,3/31/2020,38,1,2.631578947,100,1,38
Norfolk,3/31/2020,40,9,22.5,100,9,40
Out of State,3/31/2020,48,26,54.166666667,100,26,48
Peninsula,3/31/2020,60,12,20,100,12,60
Piedmont,3/31/2020,22,0,0,100,0,22
Pittsylvania-Danville,3/31/2020,3,1,33.333333333,100,1,3
Portsmouth,3/31/2020,17,4,23.529411765,100,4,17
Prince William,3/31/2020,108,19,17.592592593,100,19,108
Rappahannock,3/31/2020,98,10,10.204081633,100,10,98
Rappahannock Rapidan,3/31/2020,36,0,0,100,0,36
Richmond,3/31/2020,100,19,19,100,19,100
Roanoke,3/31/2020,99,8,8.080808081,100,8,99
Southside,3/31/2020,8,1,12.5,100,1,8
Thomas Jefferson,3/31/2020,13,0,0,100,0,13
Three Rivers,3/31/2020,32,2,6.25,100,2,32
Unknown,3/31/2020,48,36,75,100,36,48
Virginia Beach,3/31/2020,83,13,15.662650602,100,13,83
West Piedmont,3/31/2020,20,1,5,100,1,20
Western Tidewater,3/31/2020,18,2,11.111111111,100,2,18
Alexandria,4/1/2020,53,11,20.754716981,100,11,53
Alleghany,4/1/2020,22,3,13.636363636,100,3,22
Arlington,4/1/2020,70,15,21.428571429,100,15,70
Central Shenandoah,4/1/2020,27,4,14.814814815,100,4,27
Central Virginia,4/1/2020,40,6,15,100,6,40
Chesapeake,4/1/2020,70,15,21.428571429,100,15,70
Chesterfield,4/1/2020,93,12,12.903225806,100,12,93
Chickahominy,4/1/2020,53,8,15.094339623,100,8,53
Crater,4/1/2020,43,6,13.953488372,100,6,43
Cumberland Plateau,4/1/2020,12,1,8.333333333,100,1,12
Eastern Shore,4/1/2020,8,1,12.5,100,1,8
Fairfax,4/1/2020,311,70,22.508038585,100,70,311
Hampton,4/1/2020,57,13,22.807017544,100,13,57
Henrico,4/1/2020,113,20,17.699115044,100,20,113
Lenowisco,4/1/2020,8,0,0,100,0,8
Lord Fairfax,4/1/2020,103,7,6.796116505,100,7,103
Loudoun,4/1/2020,72,14,19.444444444,100,14,72
Mount Rogers,4/1/2020,30,1,3.333333333,100,1,30
New River,4/1/2020,24,0,0,100,0,24
Norfolk,4/1/2020,67,3,4.477611940,100,3,67
Out of State,4/1/2020,40,12,30,100,12,40
Peninsula,4/1/2020,141,24,17.021276596,100,24,141
Piedmont,4/1/2020,29,4,13.793103448,100,4,29
Pittsylvania-Danville,4/1/2020,39,4,10.256410256,100,4,39
Portsmouth,4/1/2020,27,5,18.518518519,100,5,27
Prince William,4/1/2020,105,16,15.238095238,100,16,105
Rappahannock,4/1/2020,93,9,9.677419355,100,9,93
Rappahannock Rapidan,4/1/2020,32,3,9.375,100,3,32
Richmond,4/1/2020,121,17,14.049586777,100,17,121
Roanoke,4/1/2020,126,9,7.142857143,100,9,126
Southside,4/1/2020,25,4,16,100,4,25
Thomas Jefferson,4/1/2020,23,1,4.347826087,100,1,23
Three Rivers,4/1/2020,43,2,4.651162791,100,2,43
Unknown,4/1/2020,9,1,11.111111111,100,1,9
Virginia Beach,4/1/2020,187,27,14.438502674,100,27,187
West Piedmont,4/1/2020,31,0,0,100,0,31
Western Tidewater,4/1/2020,49,11,22.448979592,100,11,49
Alexandria,4/2/2020,56,12,21.428571429,100,12,56
Alleghany,4/2/2020,17,0,0,100,0,17
Arlington,4/2/2020,56,13,23.214285714,100,13,56
Central Shenandoah,4/2/2020,56,13,23.214285714,100,13,56
Central Virginia,4/2/2020,24,2,8.333333333,100,2,24
Chesapeake,4/2/2020,57,12,21.052631579,100,12,57
Chesterfield,4/2/2020,112,14,12.5,100,14,112
Chickahominy,4/2/2020,43,7,16.279069767,100,7,43
Crater,4/2/2020,60,5,8.333333333,100,5,60
Cumberland Plateau,4/2/2020,6,0,0,100,0,6
Eastern Shore,4/2/2020,11,2,18.181818182,100,2,11
Fairfax,4/2/2020,247,45,18.218623482,100,45,247
Hampton,4/2/2020,21,4,19.047619048,100,4,21
Henrico,4/2/2020,170,38,22.352941176,100,38,170
Lenowisco,4/2/2020,2,0,0,100,0,2
Lord Fairfax,4/2/2020,49,8,16.326530612,100,8,49
Loudoun,4/2/2020,114,13,11.403508772,100,13,114
Mount Rogers,4/2/2020,25,2,8,100,2,25
New River,4/2/2020,13,0,0,100,0,13
Norfolk,4/2/2020,47,11,23.404255319,100,11,47
Out of State,4/2/2020,31,6,19.354838710,100,6,31
Peninsula,4/2/2020,98,8,8.163265306,100,8,98
Piedmont,4/2/2020,24,2,8.333333333,100,2,24
Pittsylvania-Danville,4/2/2020,14,2,14.285714286,100,2,14
Portsmouth,4/2/2020,11,2,18.181818182,100,2,11
Prince William,4/2/2020,106,24,22.641509434,100,24,106
Rappahannock,4/2/2020,76,10,13.157894737,100,10,76
Rappahannock Rapidan,4/2/2020,45,3,6.666666667,100,3,45
Richmond,4/2/2020,99,21,21.212121212,100,21,99
Roanoke,4/2/2020,71,9,12.676056338,100,9,71
Southside,4/2/2020,14,3,21.428571429,100,3,14
Thomas Jefferson,4/2/2020,45,3,6.666666667,100,3,45
Three Rivers,4/2/2020,40,3,7.5,100,3,40
Unknown,4/2/2020,14,10,71.428571429,100,10,14
Virginia Beach,4/2/2020,61,12,19.672131148,100,12,61
West Piedmont,4/2/2020,16,3,18.75,100,3,16
Western Tidewater,4/2/2020,14,6,42.857142857,100,6,14
Alexandria,4/3/2020,67,16,23.880597015,100,16,67
Alleghany,4/3/2020,14,0,0,100,0,14
Arlington,4/3/2020,94,19,20.212765957,100,19,94
Central Shenandoah,4/3/2020,27,1,3.703703704,100,1,27
Central Virginia,4/3/2020,34,2,5.882352941,100,2,34
Chesapeake,4/3/2020,90,10,11.111111111,100,10,90
Chesterfield,4/3/2020,140,19,13.571428571,100,19,140
Chickahominy,4/3/2020,45,4,8.888888889,100,4,45
Crater,4/3/2020,58,9,15.517241379,100,9,58
Cumberland Plateau,4/3/2020,24,1,4.166666667,100,1,24
Eastern Shore,4/3/2020,15,4,26.666666667,100,4,15
Fairfax,4/3/2020,344,81,23.546511628,100,81,344
Hampton,4/3/2020,54,6,11.111111111,100,6,54
Henrico,4/3/2020,138,23,16.666666667,100,23,138
Lenowisco,4/3/2020,9,1,11.111111111,100,1,9
Lord Fairfax,4/3/2020,60,3,5,100,3,60
Loudoun,4/3/2020,140,26,18.571428571,100,26,140
Mount Rogers,4/3/2020,30,1,3.333333333,100,1,30
New River,4/3/2020,23,1,4.347826087,100,1,23
Norfolk,4/3/2020,80,7,8.75,100,7,80
Out of State,4/3/2020,59,15,25.423728814,100,15,59
Peninsula,4/3/2020,156,11,7.051282051,100,11,156
Piedmont,4/3/2020,22,2,9.090909091,100,2,22
Pittsylvania-Danville,4/3/2020,33,4,12.121212121,100,4,33
Portsmouth,4/3/2020,40,7,17.5,100,7,40
Prince William,4/3/2020,137,18,13.138686131,100,18,137
Rappahannock,4/3/2020,202,14,6.930693069,100,14,202
Rappahannock Rapidan,4/3/2020,57,1,1.754385965,100,1,57
Richmond,4/3/2020,84,11,13.095238095,100,11,84
Roanoke,4/3/2020,66,1,1.515151515,100,1,66
Southside,4/3/2020,18,0,0,100,0,18
Thomas Jefferson,4/3/2020,28,6,21.428571429,100,6,28
Three Rivers,4/3/2020,49,2,4.081632653,100,2,49
Unknown,4/3/2020,8,2,25,100,2,8
Virginia Beach,4/3/2020,196,14,7.142857143,100,14,196
West Piedmont,4/3/2020,20,0,0,100,0,20
Western Tidewater,4/3/2020,52,9,17.307692308,100,9,52
Alexandria,4/4/2020,69,21,30.434782609,100,21,69
Alleghany,4/4/2020,14,0,0,100,0,14
Arlington,4/4/2020,117,21,17.948717949,100,21,117
Central Shenandoah,4/4/2020,54,6,11.111111111,100,6,54
Central Virginia,4/4/2020,14,0,0,100,0,14
Chesapeake,4/4/2020,67,10,14.925373134,100,10,67
Chesterfield,4/4/2020,45,8,17.777777778,100,8,45
Chickahominy,4/4/2020,35,11,31.428571429,100,11,35
Crater,4/4/2020,43,7,16.279069767,100,7,43
Cumberland Plateau,4/4/2020,27,1,3.703703704,100,1,27
Eastern Shore,4/4/2020,11,2,18.181818182,100,2,11
Fairfax,4/4/2020,403,116,28.784119107,100,116,403
Hampton,4/4/2020,34,2,5.882352941,100,2,34
Henrico,4/4/2020,66,20,30.303030303,100,20,66
Lenowisco,4/4/2020,17,1,5.882352941,100,1,17
Lord Fairfax,4/4/2020,121,14,11.570247934,100,14,121
Loudoun,4/4/2020,120,32,26.666666667,100,32,120
Mount Rogers,4/4/2020,57,6,10.526315789,100,6,57
New River,4/4/2020,52,2,3.846153846,100,2,52
Norfolk,4/4/2020,48,5,10.416666667,100,5,48
Out of State,4/4/2020,52,26,50,100,26,52
Peninsula,4/4/2020,106,12,11.320754717,100,12,106
Piedmont,4/4/2020,19,0,0,100,0,19
Pittsylvania-Danville,4/4/2020,2,0,0,100,0,2
Portsmouth,4/4/2020,21,2,9.523809524,100,2,21
Prince William,4/4/2020,126,28,22.222222222,100,28,126
Rappahannock,4/4/2020,64,7,10.9375,100,7,64
Rappahannock Rapidan,4/4/2020,46,2,4.347826087,100,2,46
Richmond,4/4/2020,57,15,26.315789474,100,15,57
Roanoke,4/4/2020,22,2,9.090909091,100,2,22
Southside,4/4/2020,22,2,9.090909091,100,2,22
Thomas Jefferson,4/4/2020,34,2,5.882352941,100,2,34
Three Rivers,4/4/2020,44,6,13.636363636,100,6,44
Virginia Beach,4/4/2020,117,11,9.401709402,100,11,117
West Piedmont,4/4/2020,14,0,0,100,0,14
Western Tidewater,4/4/2020,36,6,16.666666667,100,6,36
Alexandria,4/5/2020,103,30,29.126213592,100,30,103
Alleghany,4/5/2020,40,3,7.5,100,3,40
Arlington,4/5/2020,255,38,14.901960784,100,38,255
Central Shenandoah,4/5/2020,53,4,7.547169811,100,4,53
Central Virginia,4/5/2020,99,13,13.131313131,100,13,99
Chesapeake,4/5/2020,92,8,8.695652174,100,8,92
Chesterfield,4/5/2020,122,16,13.114754098,100,16,122
Chickahominy,4/5/2020,45,11,24.444444444,100,11,45
Crater,4/5/2020,65,9,13.846153846,100,9,65
Cumberland Plateau,4/5/2020,40,1,2.5,100,1,40
Eastern Shore,4/5/2020,11,1,9.090909091,100,1,11
Fairfax,4/5/2020,560,105,18.75,100,105,560
Hampton,4/5/2020,72,8,11.111111111,100,8,72
Henrico,4/5/2020,160,27,16.875,100,27,160
Lenowisco,4/5/2020,30,1,3.333333333,100,1,30
Lord Fairfax,4/5/2020,241,20,8.298755187,100,20,241
Loudoun,4/5/2020,133,23,17.293233083,100,23,133
Mount Rogers,4/5/2020,64,1,1.5625,100,1,64
New River,4/5/2020,68,2,2.941176471,100,2,68
Norfolk,4/5/2020,95,5,5.263157895,100,5,95
Out of State,4/5/2020,49,11,22.448979592,100,11,49
Peninsula,4/5/2020,168,20,11.904761905,100,20,168
Piedmont,4/5/2020,25,1,4,100,1,25
Pittsylvania-Danville,4/5/2020,39,1,2.564102564,100,1,39
Portsmouth,4/5/2020,38,7,18.421052632,100,7,38
Prince William,4/5/2020,225,48,21.333333333,100,48,225
Rappahannock,4/5/2020,122,10,8.196721311,100,10,122
Rappahannock Rapidan,4/5/2020,73,3,4.109589041,100,3,73
Richmond,4/5/2020,79,9,11.392405063,100,9,79
Roanoke,4/5/2020,225,12,5.333333333,100,12,225
Southside,4/5/2020,24,1,4.166666667,100,1,24
Thomas Jefferson,4/5/2020,36,1,2.777777778,100,1,36
Three Rivers,4/5/2020,52,8,15.384615385,100,8,52
Unknown,4/5/2020,5,0,0,100,0,5
Virginia Beach,4/5/2020,212,15,7.075471698,100,15,212
West Piedmont,4/5/2020,32,1,3.125,100,1,32
Western Tidewater,4/5/2020,61,9,14.754098361,100,9,61
Alexandria,4/6/2020,78,14,17.948717949,100,14,78
Alleghany,4/6/2020,14,2,14.285714286,100,2,14
Arlington,4/6/2020,169,30,17.751479290,100,30,169
Central Shenandoah,4/6/2020,31,9,29.032258065,100,9,31
Central Virginia,4/6/2020,142,7,4.929577465,100,7,142
Chesapeake,4/6/2020,62,15,24.193548387,100,15,62
Chesterfield,4/6/2020,96,16,16.666666667,100,16,96
Chickahominy,4/6/2020,36,4,11.111111111,100,4,36
Crater,4/6/2020,33,3,9.090909091,100,3,33
Cumberland Plateau,4/6/2020,47,3,6.382978723,100,3,47
Eastern Shore,4/6/2020,5,0,0,100,0,5
Fairfax,4/6/2020,533,85,15.947467167,100,85,533
Hampton,4/6/2020,42,11,26.190476190,100,11,42
Henrico,4/6/2020,127,20,15.748031496,100,20,127
Lenowisco,4/6/2020,24,6,25,100,6,24
Lord Fairfax,4/6/2020,121,15,12.396694215,100,15,121
Loudoun,4/6/2020,135,14,10.370370370,100,14,135
Mount Rogers,4/6/2020,30,4,13.333333333,100,4,30
New River,4/6/2020,146,7,4.794520548,100,7,146
Norfolk,4/6/2020,70,9,12.857142857,100,9,70
Out of State,4/6/2020,81,13,16.049382716,100,13,81
Peninsula,4/6/2020,96,10,10.416666667,100,10,96
Piedmont,4/6/2020,60,7,11.666666667,100,7,60
Pittsylvania-Danville,4/6/2020,17,1,5.882352941,100,1,17
Portsmouth,4/6/2020,37,4,10.810810811,100,4,37
Prince William,4/6/2020,163,29,17.791411043,100,29,163
Rappahannock,4/6/2020,87,12,13.793103448,100,12,87
Rappahannock Rapidan,4/6/2020,50,7,14,100,7,50
Richmond,4/6/2020,76,15,19.736842105,100,15,76
Roanoke,4/6/2020,61,4,6.557377049,100,4,61
Southside,4/6/2020,14,2,14.285714286,100,2,14
Thomas Jefferson,4/6/2020,16,4,25,100,4,16
Three Rivers,4/6/2020,32,5,15.625,100,5,32
Unknown,4/6/2020,6,4,66.666666667,100,4,6
Virginia Beach,4/6/2020,201,15,7.462686567,100,15,201
West Piedmont,4/6/2020,3,1,33.333333333,100,1,3
Western Tidewater,4/6/2020,34,4,11.764705882,100,4,34
Alexandria,4/7/2020,72,13,18.055555556,100,13,72
Alleghany,4/7/2020,16,2,12.5,100,2,16
Arlington,4/7/2020,96,30,31.25,100,30,96
Central Shenandoah,4/7/2020,43,11,25.581395349,100,11,43
Central Virginia,4/7/2020,43,3,6.976744186,100,3,43
Chesapeake,4/7/2020,67,6,8.955223881,100,6,67
Chesterfield,4/7/2020,82,13,15.853658537,100,13,82
Chickahominy,4/7/2020,52,12,23.076923077,100,12,52
Crater,4/7/2020,35,7,20,100,7,35
Cumberland Plateau,4/7/2020,35,0,0,100,0,35
Eastern Shore,4/7/2020,5,0,0,100,0,5
Fairfax,4/7/2020,387,101,26.098191214,100,101,387
Hampton,4/7/2020,33,5,15.151515152,100,5,33
Henrico,4/7/2020,120,23,19.166666667,100,23,120
Lenowisco,4/7/2020,21,2,9.523809524,100,2,21
Lord Fairfax,4/7/2020,94,12,12.765957447,100,12,94
Loudoun,4/7/2020,144,20,13.888888889,100,20,144
Mount Rogers,4/7/2020,39,5,12.820512821,97.5,6,40
New River,4/7/2020,27,1,3.703703704,100,1,27
Norfolk,4/7/2020,57,4,7.017543860,100,4,57
Out of State,4/7/2020,49,10,20.408163265,100,10,49
Peninsula,4/7/2020,61,7,11.475409836,100,7,61
Piedmont,4/7/2020,15,2,13.333333333,100,2,15
Pittsylvania-Danville,4/7/2020,17,3,17.647058824,100,3,17
Portsmouth,4/7/2020,16,2,12.5,100,2,16
Prince William,4/7/2020,146,43,29.452054795,100,43,146
Rappahannock,4/7/2020,149,8,5.369127517,100,8,149
Rappahannock Rapidan,4/7/2020,53,5,9.433962264,100,5,53
Richmond,4/7/2020,55,6,10.909090909,100,6,55
Roanoke,4/7/2020,81,6,7.407407407,100,6,81
Southside,4/7/2020,25,9,36,100,9,25
Thomas Jefferson,4/7/2020,41,1,2.439024390,100,1,41
Three Rivers,4/7/2020,27,3,11.111111111,100,3,27
Unknown,4/7/2020,16,0,0,100,0,16
Virginia Beach,4/7/2020,130,16,12.307692308,100,16,130
West Piedmont,4/7/2020,15,1,6.666666667,100,1,15
Western Tidewater,4/7/2020,37,0,0,100,0,37
Alexandria,4/8/2020,53,14,26.415094340,100,14,53
Alleghany,4/8/2020,5,1,20,100,1,5
Arlington,4/8/2020,101,41,40.594059406,100,41,101
Central Shenandoah,4/8/2020,67,26,38.805970149,100,26,67
Central Virginia,4/8/2020,42,5,11.904761905,100,5,42
Chesapeake,4/8/2020,49,9,18.367346939,100,9,49
Chesterfield,4/8/2020,71,18,25.352112676,100,18,71
Chickahominy,4/8/2020,33,8,24.242424242,100,8,33
Crater,4/8/2020,34,6,17.647058824,100,6,34
Cumberland Plateau,4/8/2020,28,1,3.571428571,100,1,28
Eastern Shore,4/8/2020,4,1,25,100,1,4
Fairfax,4/8/2020,431,104,24.129930394,100,104,431
Hampton,4/8/2020,22,3,13.636363636,100,3,22
Henrico,4/8/2020,107,25,23.364485981,100,25,107
Lenowisco,4/8/2020,25,3,12,100,3,25
Lord Fairfax,4/8/2020,68,8,11.764705882,100,8,68
Loudoun,4/8/2020,133,14,10.526315789,100,14,133
Mount Rogers,4/8/2020,40,8,20,100,8,40
New River,4/8/2020,11,0,0,100,0,11
Norfolk,4/8/2020,59,11,18.644067797,100,11,59
Out of State,4/8/2020,35,10,28.571428571,100,10,35
Peninsula,4/8/2020,61,7,11.475409836,100,7,61
Piedmont,4/8/2020,27,2,7.407407407,100,2,27
Pittsylvania-Danville,4/8/2020,21,3,14.285714286,100,3,21
Portsmouth,4/8/2020,23,5,21.739130435,100,5,23
Prince William,4/8/2020,163,50,30.674846626,100,50,163
Rappahannock,4/8/2020,93,7,7.526881720,100,7,93
Rappahannock Rapidan,4/8/2020,64,7,10.9375,100,7,64
Richmond,4/8/2020,103,23,22.330097087,100,23,103
Roanoke,4/8/2020,63,5,7.936507937,100,5,63
Southside,4/8/2020,37,12,32.432432432,100,12,37
Thomas Jefferson,4/8/2020,53,6,11.320754717,100,6,53
Three Rivers,4/8/2020,34,5,14.705882353,100,5,34
Unknown,4/8/2020,2,1,50,100,1,2
Virginia Beach,4/8/2020,108,5,4.629629630,100,5,108
